id,Ea
icsd_180501,-0.454
icsd_165214,-0.39752
icsd_193628,-0.07078
icsd_247489,0.11355
icsd_200897,1.10163
icsd_42849,-0.24687
icsd_65123,-0.20412
icsd_40545,0.00673
icsd_85711,-0.17145
icsd_189317,-0.34754
icsd_81013,0.18836
icsd_157724,-0.51894
icsd_251011,0.12324
icsd_642399,-0.59533
icsd_290720,-0.32906
icsd_33889,-0.41924
icsd_107201,-0.18423
icsd_79879,-0.43052
icsd_261191,0.30357
icsd_84820,-0.02353
icsd_420638,0.22775
icsd_260369,-0.32906
icsd_416607,0.88012
icsd_193061,0.16579
icsd_246227,0.32011
icsd_56283,-0.19076
icsd_166375,0.18836
icsd_86933,-0.20412
icsd_180910,-0.02353
icsd_193777,-0.0758
icsd_246209,-0.06091
icsd_87988,-0.24687
icsd_159027,-0.27791
icsd_51492,0.80793
icsd_201425,0.20981
icsd_25385,-0.34754
icsd_24446,0.76567
icsd_69192,0.66731
icsd_193084,0.17154
icsd_167588,0.34573
icsd_239798,-0.19739
icsd_14118,0.474
icsd_280993,-0.24687
icsd_190807,-0.03717
icsd_416858,-0.02803
icsd_52788,0.53993
icsd_39655,-0.39752
icsd_59959,0.51345
icsd_604694,-0.61236
icsd_14157,-0.15904
icsd_184558,-0.06091
icsd_153829,0.42586
icsd_50457,-0.23215
icsd_171747,0.11027
icsd_92554,0.46099
icsd_61,0.87563
icsd_192389,-0.3201
icsd_86439,-0.09649
icsd_20340,0.00673
icsd_290236,-0.30273
icsd_99599,-0.13524
icsd_187834,-0.14107
icsd_201882,0.60142
icsd_428945,0.75462
icsd_94597,-0.0103
icsd_62501,0.24738
icsd_159059,-0.07078
icsd_191620,0.07961
icsd_87477,-0.64857
icsd_238839,-0.23215
icsd_250468,0.03502
icsd_2829,0.16289
icsd_186408,-0.20412
icsd_67244,-0.0017
icsd_4155,0.02713
icsd_193926,-0.14107
icsd_172776,0.19922
icsd_63423,-0.02803
icsd_239031,-0.15297
icsd_200891,-0.26211
icsd_59736,0.79656
icsd_93858,1.26639
icsd_86932,-0.20412
icsd_28301,-0.37683
icsd_49752,-0.36685
icsd_262110,-0.10721
icsd_25636,-0.11267
icsd_152553,-1.05606
icsd_414271,-0.51894
icsd_280947,0.17722
icsd_196019,-0.50515
icsd_27790,0.42586
icsd_63085,0.37709
icsd_260,-0.21791
icsd_161384,0.40966
icsd_949,-0.61236
icsd_238292,-0.21791
icsd_238298,0.19922
icsd_158619,-0.07078
icsd_33767,-0.19739
icsd_166022,-0.40824
icsd_33951,-0.68808
icsd_412371,-0.2943
icsd_76979,-0.26994
icsd_100741,0.17722
icsd_65141,-0.15297
icsd_89615,-0.30273
icsd_50537,0.26845
icsd_41413,-0.96891
icsd_167531,-0.03717
icsd_159516,0.17722
icsd_20049,0.0466
icsd_193057,0.17722
icsd_16173,-0.28602
icsd_186951,-0.04651
icsd_73241,0.00673
icsd_169,-0.01466
icsd_82352,0.10029
icsd_39468,0.50953
icsd_15736,-0.24687
icsd_81329,-0.43052
icsd_72624,-0.10721
icsd_183874,-0.09649
icsd_165661,-0.11267
icsd_417788,-0.01907
icsd_155635,-0.41924
icsd_67580,0.67634
icsd_236372,-0.12949
icsd_186902,0.25215
icsd_418146,-0.01466
icsd_39631,-0.07078
icsd_181383,-0.26211
icsd_36459,1.06195
icsd_164189,-0.14107
icsd_82487,0.21501
icsd_425175,0.16289
icsd_236895,-0.53318
icsd_155904,-0.50515
icsd_252029,-0.41924
icsd_94162,-0.30273
icsd_428811,0.00673
icsd_171081,-0.10181
icsd_426231,0.02713
icsd_35279,-0.38705
icsd_2836,-0.36685
icsd_151381,0.07606
icsd_35534,-0.22497
icsd_261352,-0.64857
icsd_247204,-0.08088
icsd_169642,-0.2943
icsd_201017,0.26845
icsd_429316,-0.05126
icsd_196001,0.80594
icsd_252313,0.03892
icsd_63415,0.14806
icsd_46027,-0.18423
icsd_162681,-0.70927
icsd_71683,-0.28602
icsd_195717,-0.46623
icsd_195704,-0.47882
icsd_42490,-0.43052
icsd_68765,0.6067
icsd_93775,0.24255
icsd_99050,0.09691
icsd_420522,-0.17145
icsd_79679,-0.73155
icsd_100455,0.19382
icsd_161850,-0.3201
icsd_40417,-0.25443
icsd_56098,0.70903
icsd_169033,-0.454
icsd_89221,0.41621
icsd_246116,0.8348
icsd_427143,-0.70927
icsd_191226,0.61191
icsd_94617,-0.1652
icsd_182355,-0.5479
icsd_162551,-0.1652
icsd_251634,-0.02803
icsd_15478,-0.23945
icsd_96226,-0.80618
icsd_14202,-0.77985
icsd_87079,0.43061
icsd_187790,0.23274
icsd_10231,-0.11267
icsd_262711,-0.12949
icsd_418372,-0.46623
icsd_185407,0.82792
icsd_78269,-0.68808
icsd_67055,0.06888
icsd_2433,0.11027
icsd_185521,-0.13524
icsd_280867,0.70235
icsd_69017,-0.19739
icsd_422975,0.02713
icsd_92581,0.08312
icsd_81678,-0.19076
icsd_38416,-0.2943
icsd_195944,0.33409
icsd_56254,-0.24687
icsd_74445,0.14504
icsd_170187,-0.14698
icsd_183709,-0.3201
icsd_96819,-0.02353
icsd_188872,0.05416
icsd_39656,-0.36685
icsd_170555,0.00673
icsd_290588,-0.26211
icsd_163180,-0.17779
icsd_74212,0.22523
icsd_96484,0.20981
icsd_44273,-0.20412
icsd_91186,0.07249
icsd_20666,0.37172
icsd_401689,-0.66788
icsd_67316,-0.08088
icsd_174569,0.55673
icsd_181835,-0.38705
icsd_245538,0.53624
icsd_247256,-0.19076
icsd_412388,0.87108
icsd_238626,-0.57894
icsd_99247,0.34573
icsd_186819,-0.37683
icsd_189037,-0.46623
icsd_83284,-0.66788
icsd_402642,-0.03258
icsd_33742,-0.01466
icsd_252241,0.1856
icsd_21085,-0.03717
icsd_54199,-0.15297
icsd_414185,0.07249
icsd_108863,0.90139
icsd_173119,0.49621
icsd_181983,-0.47882
icsd_183710,-0.2943
icsd_15928,-0.49179
icsd_290666,-0.41924
icsd_55644,0.58958
icsd_407015,-0.51894
icsd_6210,-0.19076
icsd_109648,-0.17779
icsd_190548,0.62518
icsd_79251,-0.73155
icsd_65158,-0.43052
icsd_50066,-0.04182
icsd_642291,-0.4421
icsd_280100,0.19653
icsd_185361,-0.51894
icsd_281177,0.2929
icsd_196037,-0.10181
icsd_245413,0.07606
icsd_245964,-0.35709
icsd_194859,-0.12381
icsd_161169,-0.22497
icsd_73276,-0.38705
icsd_88599,0.43061
icsd_19010,0.55199
icsd_42393,-1.23215
icsd_195816,-0.17779
icsd_71209,1.04278
icsd_90907,0.16289
icsd_49008,-0.66788
icsd_86226,-0.31133
icsd_184007,-0.73155
icsd_172981,-0.10181
icsd_30265,-0.70927
icsd_55264,-0.11821
icsd_159545,-0.06582
icsd_182742,-0.12949
icsd_92636,0.17154
icsd_74469,-0.38705
icsd_162101,-0.12949
icsd_73836,-0.19739
icsd_55666,0.03892
icsd_163892,-0.17145
icsd_183132,-0.39752
icsd_186651,0.13271
icsd_185523,-0.14698
icsd_72816,0.408
icsd_290480,-0.37683
icsd_196514,-0.15297
icsd_26666,-0.89636
icsd_93121,-0.10721
icsd_180313,-0.12381
icsd_194081,-0.41924
icsd_78968,-0.77985
icsd_59938,0.31398
icsd_9672,-0.14698
icsd_250440,-0.07078
icsd_290233,-0.25443
icsd_159068,-0.1652
icsd_91776,-0.25443
icsd_238618,-0.21791
icsd_16926,-0.36685
icsd_65807,0.04278
icsd_188416,0.4989
icsd_84777,0.03502
icsd_89765,-0.03258
icsd_192626,-0.11267
icsd_73222,-0.57894
icsd_202282,-0.19076
icsd_380488,0.05416
icsd_425932,0.06888
icsd_50754,-0.09649
icsd_31277,-0.02353
icsd_280729,0.20718
icsd_152079,-0.14698
icsd_158511,-0.11267
icsd_300178,0.05789
icsd_18098,0.00673
icsd_26685,0.44758
icsd_424574,0.38764
icsd_180496,-0.454
icsd_428759,0.30357
icsd_191100,-0.04182
icsd_74365,-0.10721
icsd_160149,0.15702
icsd_185299,0.24738
icsd_15334,0.1168
icsd_56862,0.48106
icsd_99296,-0.46623
icsd_250523,-0.41924
icsd_94138,-0.06582
icsd_71267,0.5387
icsd_98114,0.25452
icsd_245409,0.36628
icsd_188506,-0.08602
icsd_27720,0.19922
icsd_72100,-0.41924
icsd_100456,0.17722
icsd_425090,-0.04651
icsd_156591,-0.05606
icsd_290998,0.07606
icsd_423568,-0.0103
icsd_189299,-0.24687
icsd_107142,-0.24687
icsd_167314,0.2227
icsd_170859,-0.17145
icsd_54195,-0.13524
icsd_186590,-0.15904
icsd_66073,-0.46623
icsd_431100,0.42106
icsd_65117,0.34188
icsd_239295,0.26616
icsd_168997,0.07249
icsd_430539,0.32816
icsd_192257,0.44607
icsd_91930,-0.30273
icsd_63664,0.23767
icsd_73200,0.07606
icsd_280033,0.70235
icsd_52149,0.62919
icsd_107308,0.13271
icsd_290346,0.34381
icsd_74859,-0.01907
icsd_151807,0.26845
icsd_183902,-0.22497
icsd_24434,-1.0103
icsd_83450,0.20189
icsd_170843,-0.0017
icsd_424886,-0.30273
icsd_9608,0.70986
icsd_53843,0.15702
icsd_34408,-0.02353
icsd_37255,0.70487
icsd_52024,0.23274
icsd_251711,-0.35709
icsd_10227,-0.12381
icsd_428170,-0.02353
icsd_15500,-0.26994
icsd_73907,0.4353
icsd_32002,-0.10721
icsd_156893,-0.39752
icsd_420405,-0.08602
icsd_39392,-0.10721
icsd_187931,-0.05126
icsd_180936,-0.43052
icsd_153449,0.17154
icsd_171932,0.11027
icsd_65456,-0.0103
icsd_83387,0.01089
icsd_173015,0.00673
icsd_30294,-0.13524
icsd_73491,0.69127
icsd_15336,0.01908
icsd_160844,-0.15904
icsd_239746,-0.10721
icsd_9535,1.23373
icsd_412642,0.23767
icsd_9839,-0.10721
icsd_36470,0.11027
icsd_202993,0.26845
icsd_247476,0.02713
icsd_68489,0.10029
icsd_202370,-0.31133
icsd_33748,-0.05606
icsd_22244,1.0911
icsd_237948,-0.08088
icsd_194201,0.17154
icsd_31373,-0.18423
icsd_428043,-0.17779
icsd_174058,-0.41924
icsd_30808,-0.12381
icsd_9082,-0.35709
icsd_291306,0.21759
icsd_425786,0.51345
icsd_15876,0.14504
icsd_86441,0.41458
icsd_75131,0.05416
icsd_100622,-0.21791
icsd_248058,0.07249
icsd_80107,-0.53318
icsd_245418,0.20189
icsd_65666,0.04278
icsd_251938,-0.10721
icsd_36460,0.37531
icsd_200908,0.96144
icsd_603516,-0.51894
icsd_10007,0.66272
icsd_236882,0.10364
icsd_428600,0.09691
icsd_74216,0.16289
icsd_26043,-0.47882
icsd_165327,-0.00598
icsd_423762,-0.57894
icsd_239874,0.28196
icsd_185829,-0.51894
icsd_195708,-0.49179
icsd_18156,0.00673
icsd_192517,-0.4421
icsd_237415,-0.21096
icsd_25510,0.19653
icsd_428746,-0.03717
icsd_98732,0.09691
icsd_300171,0.2775
icsd_418145,0.01089
icsd_421481,-0.03717
icsd_85457,0.20718
icsd_156156,-0.23215
icsd_33745,-0.03717
icsd_9923,-0.63009
icsd_89001,0.07961
icsd_63052,0.47966
icsd_202871,-0.56314
icsd_422986,-0.21096
icsd_419588,-0.06091
icsd_15335,0.12642
icsd_247622,0.28196
icsd_26147,0.22015
icsd_63393,0.0504
icsd_237367,-0.49179
icsd_2121,-0.27791
icsd_281608,-0.14107
icsd_5278,-0.09649
icsd_156656,-0.17779
icsd_86486,-0.61236
icsd_73812,-0.64857
icsd_245791,-0.43052
icsd_159558,-0.11267
icsd_191451,0.03109
icsd_164492,-0.26211
icsd_239314,0.4521
icsd_88589,-0.06582
icsd_416929,-0.68808
icsd_169660,-0.25443
icsd_240620,-0.21791
icsd_260800,-0.56314
icsd_236431,-0.10721
icsd_180895,0.20718
icsd_22348,-0.50515
icsd_290224,-0.1652
icsd_252061,-0.11821
icsd_425216,0.4113
icsd_16229,-0.43052
icsd_183500,-0.70927
icsd_193783,0.13271
icsd_194597,0.07961
icsd_421311,0.10029
icsd_92852,-0.11267
icsd_169738,-0.13524
icsd_164555,0.74937
icsd_42782,-0.23945
icsd_248753,-0.41924
icsd_281126,0.59176
icsd_239001,0.22775
icsd_66638,-0.06091
icsd_4433,-0.17779
icsd_245970,-0.454
icsd_163790,0.18282
icsd_427037,0.04278
icsd_250242,0.338
icsd_10289,0.37352
icsd_91233,0.19653
icsd_250794,-0.61236
icsd_98807,0.01501
icsd_95671,-1.31133
icsd_252266,-0.4421
icsd_262857,0.28196
icsd_427784,0.77074
icsd_245819,0.46537
icsd_79554,0.1856
icsd_85021,0.32415
icsd_250481,-0.2943
icsd_67691,0.09691
icsd_22065,0.2227
icsd_160372,0.4113
icsd_71355,0.44302
icsd_26606,-0.89636
icsd_36262,-0.09122
icsd_15489,-0.13524
icsd_238666,-0.08602
icsd_1726,-0.50515
icsd_42104,-0.24687
icsd_164433,-0.51894
icsd_65527,0.69213
icsd_73814,-0.0758
icsd_252028,-0.01466
icsd_174059,0.15107
icsd_84563,0.13583
icsd_28012,-0.01907
icsd_95406,0.81772
icsd_73160,0.4113
icsd_14130,-0.43052
icsd_152075,-0.13524
icsd_4036,0.35892
icsd_191615,0.13892
icsd_156680,0.42106
icsd_79689,1.24061
icsd_424541,0.11027
icsd_165012,-0.50515
