id,RT_1,RT_2,RT_3,label
icsd_180501,0.125882,0.130077,0.142236,O
icsd_165214,0.215343,0.222311,0.235232,F
icsd_193628,0.147547,0.144284,0.1577,O
icsd_247489,0.087155,0.09941,0.112817,O
icsd_200897,0.101429,0.104865,0.114794,K
icsd_42849,0.063881,0.066154,0.072493,Zn
icsd_65123,0.072038,0.078769,0.083358,Cu
icsd_40545,0.152034,0.157039,0.14377,O
icsd_85711,0.083287,0.066506,0.066912,Cu
icsd_189317,0.157413,0.162585,0.232556,O
icsd_81013,0.120499,0.124526,0.136195,Na
icsd_157724,0.142641,0.147355,0.163251,O
icsd_251011,0.115128,0.132829,0.145232,O
icsd_642399,0.074454,0.077055,0.084524,Li
icsd_290720,0.144234,0.148997,0.16283,O
icsd_33889,0.127665,0.127091,0.138986,F
icsd_107201,0.067415,0.069797,0.072436,Zn
icsd_79879,0.273038,0.261193,0.258728,F
icsd_261191,0.07981,0.082577,0.053148,O
icsd_84820,0.157249,0.160373,0.1985,O
icsd_420638,0.205598,0.212354,0.285707,O
icsd_260369,0.242805,0.257745,0.268873,F
icsd_416607,0.046995,0.048744,0.066727,K
icsd_193061,0.107252,0.11087,0.110252,O
icsd_246227,0.112552,0.116333,0.127277,O
icsd_56283,0.076763,0.079435,0.087114,Mg
icsd_166375,0.133728,0.132114,0.101249,K
icsd_86933,0.134248,0.137619,0.151624,O
icsd_180910,0.103022,0.088159,0.099835,O
icsd_193777,0.063906,0.060388,0.066382,Zn
icsd_246209,0.128049,0.152704,0.168966,O
icsd_87988,0.07144,0.073947,0.081142,Li
icsd_159027,0.119648,0.10984,0.122867,O
icsd_51492,0.099699,0.120104,0.122928,K
icsd_201425,0.106507,0.131022,0.144675,O
icsd_25385,0.073588,0.10135,0.124929,Li
icsd_24446,0.120312,0.124334,0.135986,K
icsd_69192,0.055178,0.05901,0.062892,Li
icsd_193084,0.118955,0.129796,0.14193,O
icsd_167588,0.106182,0.110978,0.121448,O
icsd_239798,0.18673,0.190692,0.210519,O
icsd_14118,0.088777,0.098368,0.144128,K
icsd_280993,0.186441,0.192514,0.203369,O
icsd_190807,0.109581,0.11327,0.123943,O
icsd_416858,0.114459,0.111548,0.129417,Ag
icsd_52788,0.07332,0.075885,0.08325,Ca
icsd_39655,0.111718,0.122917,0.140696,F
icsd_59959,0.120471,0.124498,0.136163,K
icsd_604694,0.093284,0.096468,0.105654,Ag
icsd_14157,0.183538,0.136131,0.185003,K
icsd_184558,0.139676,0.139756,0.152771,O
icsd_153829,0.091116,0.094233,0.103221,O
icsd_50457,0.088592,0.091631,0.077977,Cu
icsd_171747,0.565574,0.33428,0.364503,O
icsd_92554,0.090198,0.093287,0.102192,O
icsd_61,0.119332,0.123324,0.107177,K
icsd_192389,0.14871,0.138867,0.158238,O
icsd_86439,0.06434,0.066626,0.061274,Mg
icsd_20340,0.122514,0.126605,0.138457,Na
icsd_290236,0.144811,0.149593,0.163478,O
icsd_99599,0.187756,0.190303,0.207264,O
icsd_187834,0.180578,0.186469,0.160965,K
icsd_201882,0.112884,0.116676,0.144206,K
icsd_428945,0.089707,0.095025,0.106967,O
icsd_94597,0.12672,0.130941,0.143177,O
icsd_62501,0.045881,0.045599,0.051734,Al
icsd_159059,0.132474,0.144728,0.171058,O
icsd_191620,0.120741,0.124776,0.136467,O
icsd_87477,0.048795,0.0506,0.055729,Cu
icsd_238839,0.136234,0.142406,0.155656,O
icsd_250468,0.09648,0.092338,0.101159,Ag
icsd_2829,0.128508,0.134234,0.146093,O
icsd_186408,0.129751,0.108785,0.13267,O
icsd_67244,0.041587,0.043169,0.111802,Ag
icsd_4155,0.240382,0.248126,0.268521,O
icsd_193926,0.078889,0.098206,0.078558,Cu
icsd_172776,0.081292,0.084104,0.115831,O
icsd_63423,0.122987,0.127092,0.05596,Cu
icsd_239031,0.118158,0.153031,0.174501,O
icsd_200891,0.077284,0.079972,0.087699,Li
icsd_59736,0.094534,0.094582,0.101989,Ca
icsd_93858,0.069752,0.072207,0.079247,K
icsd_86932,0.134424,0.137812,0.151822,O
icsd_28301,0.142852,0.147573,0.16128,O
icsd_49752,0.156699,0.161849,0.237838,Ag
icsd_262110,0.101103,0.10453,0.114429,O
icsd_25636,0.055712,0.057732,0.050656,Zn
icsd_152553,0.069992,0.072454,0.085707,Cu
icsd_414271,0.064531,0.066824,0.073388,Cu
icsd_280947,0.215447,0.222418,0.122685,O
icsd_196019,0.147574,0.152441,0.152352,O
icsd_27790,0.07296,0.075514,0.082847,Na
icsd_63085,0.107326,0.101784,0.079157,Mg
icsd_260,0.140859,0.145518,0.144841,O
icsd_161384,0.094079,0.097288,0.09721,O
icsd_949,0.091612,0.094745,0.101796,Ag
icsd_238292,0.12174,0.133513,0.145977,O
icsd_238298,0.132333,0.151409,0.139343,O
icsd_158619,0.218649,0.22572,0.260744,O
icsd_33767,0.123395,0.132131,0.139445,Na
icsd_166022,0.154304,0.15938,0.223565,O
icsd_33951,0.056796,0.058849,0.059581,Cu
icsd_412371,0.049616,0.07647,0.05437,Ag
icsd_76979,0.084855,0.087778,0.096196,Mg
icsd_100741,0.136193,0.140707,0.166081,O
icsd_65141,0.113009,0.116805,0.12779,Na
icsd_89615,0.09995,0.075649,0.100982,Cu
icsd_50537,0.110099,0.099402,0.108848,Cu
icsd_41413,0.123275,0.127389,0.13931,F
icsd_167531,0.134399,0.138857,0.138305,O
icsd_159516,0.111661,0.111873,0.128494,O
icsd_20049,0.132447,0.101116,0.120329,Na
icsd_193057,0.101163,0.104591,0.099045,O
icsd_16173,0.280061,0.289035,0.315255,O
icsd_186951,0.202185,0.208745,0.286585,O
icsd_73241,0.163425,0.166488,0.237931,O
icsd_169,0.096231,0.088961,0.102886,Cu
icsd_82352,0.043101,0.073977,0.083541,Li
icsd_39468,0.123773,0.145963,0.139869,K
icsd_15736,0.063961,0.066236,0.072243,Zn
icsd_81329,0.081512,0.084332,0.092444,Li
icsd_72624,0.131668,0.125714,0.137488,F
icsd_183874,0.063838,0.069457,0.072611,Li
icsd_165661,0.078046,0.080758,0.088554,Ag
icsd_417788,0.183513,0.226134,0.24679,O
icsd_155635,0.052861,0.08329,0.068028,Li
icsd_67580,0.121193,0.126055,0.136974,K
icsd_236372,0.109244,0.118401,0.129527,O
icsd_186902,0.125661,0.128761,0.141988,O
icsd_418146,0.111144,0.114881,0.116688,F
icsd_39631,0.126134,0.131854,0.160388,K
icsd_181383,0.125124,0.129295,0.155901,O
icsd_36459,0.046726,0.048467,0.053408,Ca
icsd_164189,0.084954,0.08788,0.12685,Cu
icsd_82487,0.1085,0.110175,0.12273,O
icsd_425175,0.099597,0.112993,0.11274,Li
icsd_236895,0.063542,0.065804,0.071066,Cu
icsd_155904,0.06537,0.067689,0.067903,Cu
icsd_252029,0.141073,0.145739,0.198486,O
icsd_94162,0.142046,0.146742,0.160375,O
icsd_428811,0.087334,0.065622,0.07208,Li
icsd_171081,0.124874,0.129037,0.142196,O
icsd_426231,0.138718,0.134146,0.147705,O
icsd_35279,0.065395,0.067715,0.074531,Al
icsd_2836,0.079194,0.080518,0.112372,Cu
icsd_151381,0.150334,0.155287,0.169676,O
icsd_35534,0.148197,0.153084,0.18486,O
icsd_261352,0.072754,0.075301,0.032005,Cu
icsd_247204,0.115047,0.118906,0.140945,O
icsd_169642,0.143373,0.14811,0.161865,O
icsd_201017,0.143135,0.133279,0.145721,K
icsd_429316,0.067806,0.070201,0.122919,Na
icsd_196001,0.044132,0.045792,0.01818,Mg
icsd_252313,0.130296,0.134627,0.135382,O
icsd_63415,0.067024,0.081547,0.076185,Li
icsd_46027,0.173696,0.179373,0.19593,O
icsd_162681,0.157066,0.162228,0.203572,O
icsd_71683,0.079454,0.08287,0.072472,Li
icsd_195717,0.143735,0.148483,0.162271,O
icsd_195704,0.14896,0.153871,0.168135,O
icsd_42490,0.060253,0.062413,0.068839,Cu
icsd_68765,0.095617,0.098874,0.108273,K
icsd_93775,0.075369,0.077998,0.120446,Ca
icsd_99050,0.134443,0.12809,0.151843,O
icsd_420522,0.127828,0.132083,0.136862,O
icsd_79679,0.057351,0.059421,0.058486,Cu
icsd_100455,0.165743,0.198053,0.221889,O
icsd_161850,0.131465,0.170129,0.231513,O
icsd_40417,0.189763,0.273571,0.213923,O
icsd_56098,0.10897,0.11264,0.123257,K
icsd_169033,0.155417,0.160527,0.226745,O
icsd_89221,0.105634,0.107237,0.083061,O
icsd_246116,0.074533,0.077136,0.084235,O
icsd_427143,0.126026,0.130225,0.142397,F
icsd_191226,0.077018,0.117802,0.097049,O
icsd_94617,0.117972,0.121922,0.133359,O
icsd_182355,0.143863,0.148616,0.163756,O
